id,name,code,short_name,unavailable,strength,position,played,win,loss,draw,points,link_url,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,team_division
1,Arsenal,3,ARS,0,4,0,0,0,0,0,0,,1230,1320,1200,1260,1260,1320,1
2,Bournemouth,91,BOU,0,3,0,0,0,0,0,0,,1110,1140,1060,1070,1110,1120,1
3,Brighton,36,BHA,0,2,0,0,0,0,0,0,,1030,1090,1060,1070,1020,1100,1
4,Burnley,90,BUR,0,3,0,0,0,0,0,0,,1130,1130,1170,1180,1050,1050,1
5,Chelsea,8,CHE,0,4,0,0,0,0,0,0,,1250,1290,1250,1270,1280,1300,1
6,Crystal Palace,31,CRY,0,3,0,0,0,0,0,0,,1090,1100,1070,1100,1070,1080,1
7,Everton,11,EVE,0,3,0,0,0,0,0,0,,1060,1150,1050,1170,1050,1140,1
8,Huddersfield,38,HUD,0,2,0,0,0,0,0,0,,1020,1050,1040,1050,1000,1030,1
9,Leicester,13,LEI,0,3,0,0,0,0,0,0,,1140,1180,1110,1200,1160,1170,1
10,Liverpool,14,LIV,0,5,0,0,0,0,0,0,,1330,1330,1280,1290,1300,1320,1
11,Man City,43,MCI,0,5,0,0,0,0,0,0,,1340,1350,1300,1310,1320,1340,1
12,Man Utd,1,MUN,0,4,0,0,0,0,0,0,,1310,1320,1290,1320,1260,1300,1
13,Newcastle,4,NEW,0,3,0,0,0,0,0,0,,1110,1140,1080,1200,1060,1070,1
14,Southampton,20,SOU,0,2,0,0,0,0,0,0,,1030,1040,1040,1070,1050,1070,1
15,Stoke,110,STK,0,2,0,0,0,0,0,0,,1040,1060,1030,1080,1020,1070,1
16,Swansea,80,SWA,0,3,0,0,0,0,0,0,,1060,1130,1090,1140,1020,1090,1
17,Spurs,6,TOT,0,5,0,0,0,0,0,0,,1330,1330,1300,1300,1310,1330,1
18,Watford,57,WAT,0,2,0,0,0,0,0,0,,1020,1110,1030,1100,1020,1120,1
19,West Brom,35,WBA,0,2,0,0,0,0,0,0,,1020,1030,1040,1050,1020,1070,1
20,West Ham,21,WHU,0,3,0,0,0,0,0,0,,1080,1110,1040,1140,1140,1130,1
